Source,Target,Weight
Wellington Phoenix,Bayern Munich,650000
West Bromwich Albion,Watford,6100000
Hertha Berlin,Inter,22000000
Liverpool,Southampton,20100000
Real Madrid,Chelsea,45000000
Atlético Madri,Monaco,22000000
PSV Eindhoven,Sevilla,12500000
Chelsea,Bristol City,9000000
Leeds United,Tottenham Hotspur,11200000
Sevilla,Paris Saint-Germain,18000000
Ituano,Arsenal,6700000
Lyon,Tottenham Hotspur,62000000
Nimes,Montpellier,10000000
Lens,Strasbourg,2500000
Palermo,Amiens,2500000
Nancy,Nantes,1100000
Juventus,Sassuolo,2000000
Lille,Lyon,25000000
Huesca,Levante,3600000
Toulouse,Galatasaray,1375000
Bordeaux,Sevilla,25000000
Bayer Leverkusen,Eintracht Frankfurt,10000000
QPR,Sheffield United,5500000
FC Liefering,Amiens,200000
Atlético Madri,Manchester City,70000000
Zaglebie Lubin,Genoa,1200000
Lille,Lyon,9000000
FK Renova,Nimes,1500000
PSV Eindhoven,Manchester City,5900000
Benfica,Atlético Madri,126000000
Real Madrid,Benfica,20000000
Marseille,Sevilla,13000000
Newcastle United,Leicester City,33400000
Porto,Legané,1000000
Napoli,Villarreal,4000000
Parma,Spezia,500000
Paris Saint-Germain,Lokomotiv Moscow,12500000
Peñaro,Celta Vigo,4000000
Girona,Alavé,2000000
Eibar,Villarreal,8000000
Excelsior Rotterdam,Bologna,3000000
FC Copenhagen,Lazio,11700000
Fortuna Düsseldor,Schalke 04,13000000
Sochaux,Inter,4500000
Sassuolo,Juventus,18000000
Monaco,Brest,2000000
Caen,Strasbourg,4000000
Alanyaspor,Sassuolo,9250000
Dijon,Midtjylland,3300000
Augsburg,Union Berlin,2000000
Barcelona,Saint-Etienne,3000000
Udinese,Vancouver Whitecaps,2650000
Partick Thistle,Norwich City,385000
Club Brugge,Bologna,7000000
Real Madrid,Milan,20000000
Bahia,Udinese,1600000
Empoli,Fiorentina,1100000
Nacional,Cagliari,5000000
Perugia,Verona,2000000
Benfica,Verona,3000000
West Ham United,Shanghai SIPG,25000000
Roma,Shanghai Shenhua,16000000
Luton Town,Bournemouth,4400000
Stoke City,Burnley,1650000
Monaco,Leicester City,44600000
Bournemouth,Aston Villa,29570000
Huesca,Getafe,6000000
Empoli,Milan,8000000
Angers,Rennes,9500000
Nimes,Saint-Etienne,4500000
Wolfsburg,Anderlecht,5000000
West Bromwich Albion,Burnley,11130000
Sint-Truiden,Bologna,7000000
Freiburg,Nuremberg,450000
Bologna,Standard Lièg,3500000
Celta Vigo,Brentford,3850000
Real Betis,Roma,26120000
Brentford,Aston Villa,13300000
Waasland-Beveren,Fortuna Düsseldor,4000000
Roma,Porto,5000000
West Brom,Barcelona,275000
Milan,Sassuolo,9900000
FC Copenhagen,Brescia,5000000
Benfica,Atlético Madri,7000000
Genk,Celta Vigo,5000000
Crotone,Brescia,900000
Lazio,SPAL,7000000
SPAL,Lazio,17000000
Kashima Antlers,Barcelona,2000000
Sampdoria,Lyon,24000000
Valenciennes,Angers,1500000
Celta Vigo,KV Oostende,500000
Atlético Madri,Barcelona,120000000
Preston North End,Sheffield United,8900000
Galatasaray,Sevilla,4500000
Roma,Flamengo,10000000
Montpellier,Genclerbirligi,600000
Atalanta,Milan,24000000
Cittadella,Atalanta,5000000
Genoa,Juventus,26000000
Valencia,Getafe,5000000
Bologna,Rangers,4500000
Empoli,Sassuolo,7500000
SPAL,Bari,1500000
